epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8709,2.92657,5.15207,1.49824,0.00321,0.20784,0.0005,8e-05,2.48007,4.63665,1.21624,0.0001111,0.0001111,0.0001111
2,124.762,2.28734,3.184,1.19733,0.00628,0.4451,0.03014,0.01386,1.81861,4.07946,1.07025,0.000231,0.000231,0.000231
3,183.107,1.9716,2.35252,1.10649,0.00803,0.64706,0.10667,0.04485,1.57211,3.83547,1.01505,0.000348481,0.000348481,0.000348481
4,241.345,1.72268,1.96623,1.05818,0.01239,0.44314,0.18618,0.09603,1.56024,3.71049,1.0097,0.000463541,0.000463541,0.000463541
5,299.687,1.64349,1.79906,1.03319,0.01675,0.37647,0.24421,0.13286,1.55278,3.54094,0.99723,0.000576182,0.000576182,0.000576182
6,356.102,1.54629,1.71968,1.00147,0.01456,0.31176,0.16051,0.09573,1.40149,3.65716,0.97956,0.000686404,0.000686404,0.000686404
7,415.73,1.56976,1.54132,1.00308,0.01668,0.53137,0.29649,0.18896,1.37731,3.1562,0.98636,0.000794205,0.000794205,0.000794205
8,477.086,1.53576,1.55425,0.99349,1,0.13089,0.59281,0.35052,1.53471,2.49806,1.04503,0.000899587,0.000899587,0.000899587
9,538.922,1.35211,1.42228,0.94516,0.97418,0.2161,0.6324,0.34973,1.535,2.19145,1.03596,0.00100255,0.00100255,0.00100255
10,600.011,1.34748,1.40172,0.94362,0.9655,0.15874,0.77915,0.50921,1.41262,2.29636,0.97851,0.00101201,0.00101201,0.00101201
11,659.426,1.43276,1.39136,0.96641,0.95086,0.25882,0.74443,0.45926,1.45731,1.99938,1.01712,0.00100101,0.00100101,0.00100101
12,718.842,1.41617,1.35643,0.9722,0.92829,0.65971,0.86776,0.49257,1.36054,1.87207,0.94705,0.000990012,0.000990012,0.000990012
13,778.836,1.31695,1.31647,0.9447,0.83768,0.8497,0.86975,0.54311,1.23917,1.51693,0.93753,0.000979013,0.000979013,0.000979013
14,838.164,1.2346,1.22179,0.91671,0.6224,0.72745,0.70576,0.40453,1.82165,1.41663,1.04281,0.000968014,0.000968014,0.000968014
15,898.409,1.22909,1.20556,0.92455,0.89344,0.81567,0.88506,0.54531,1.38053,1.11717,0.95757,0.000957015,0.000957015,0.000957015
16,960.524,1.2151,1.22936,0.91957,0.85094,0.85166,0.8953,0.53703,1.20595,1.06165,0.92358,0.000946016,0.000946016,0.000946016
17,1027.45,1.15833,1.15904,0.91219,0.86263,0.80523,0.89688,0.50133,1.30378,1.24307,0.94598,0.000935018,0.000935018,0.000935018
18,1088.12,1.19141,1.10913,0.91182,0.91825,0.83271,0.89189,0.59486,1.22761,1.3453,0.92235,0.000924019,0.000924019,0.000924019
19,1144.62,1.22861,1.0893,0.91163,0.9428,0.55654,0.87311,0.59502,1.32961,1.69381,0.9766,0.00091302,0.00091302,0.00091302
20,1200.43,1.18673,1.12602,0.90137,0.85066,0.83673,0.88014,0.63151,1.09422,1.08324,0.92651,0.000902021,0.000902021,0.000902021
21,1256.53,1.06774,1.03237,0.8911,0.84988,0.68303,0.72582,0.49467,1.09731,1.0146,0.90769,0.000891022,0.000891022,0.000891022
22,1311.79,1.06063,0.99738,0.88658,0.90035,0.82232,0.88061,0.65183,1.01479,1.03291,0.89561,0.000880023,0.000880023,0.000880023
23,1367.51,1.07086,0.9615,0.8823,0.89333,0.83255,0.88798,0.65826,1.10722,1.06182,0.91192,0.000869024,0.000869024,0.000869024
