epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8285,2.85147,5.20982,1.50352,0.00138,0.18431,0.00018,7e-05,2.33594,4.65636,1.20197,0.00012221,0.00012221,0.00012221
2,102.586,2.1615,2.98069,1.16983,0.00311,0.06471,0.02407,0.01059,1.93588,4.11996,1.10141,0.000253,0.000253,0.000253
3,154.743,2.01207,2.42451,1.12183,0.00741,0.13529,0.05995,0.02386,1.49654,3.77901,1.00318,0.000381151,0.000381151,0.000381151
4,212.383,1.81904,2.17058,1.08282,0.01201,0.37843,0.126,0.06763,1.4883,3.65039,0.9882,0.000506662,0.000506662,0.000506662
5,264.094,1.67279,1.81683,1.02235,0.01606,0.34118,0.25999,0.14387,1.43766,3.38406,0.97846,0.000629533,0.000629533,0.000629533
6,312.208,1.54313,1.68729,1.00539,0.01638,0.35294,0.30445,0.19379,1.39841,3.03215,1.00158,0.000749764,0.000749764,0.000749764
7,359.896,1.46289,1.59953,0.9873,0.02126,0.71569,0.34343,0.20967,1.45413,2.97017,0.9858,0.000867355,0.000867355,0.000867355
8,408.036,1.61034,2.18465,1.03587,0.91023,0.24194,0.66479,0.36325,1.46997,2.12602,0.98889,0.000982307,0.000982307,0.000982307
9,457.914,1.40707,1.41146,0.96676,0.85906,0.57343,0.68254,0.32446,1.31551,1.95793,0.97643,0.00102301,0.00102301,0.00102301
10,507.16,1.43583,1.4348,0.97169,0.87079,0.65013,0.83346,0.39997,1.32948,1.57341,0.99848,0.00101201,0.00101201,0.00101201
11,556.17,1.33133,1.32506,0.93747,0.86551,0.78221,0.83965,0.33329,1.94418,1.45098,1.24246,0.00100101,0.00100101,0.00100101
12,606.268,1.41884,1.40545,0.96998,0.90446,0.85253,0.88659,0.54774,1.26412,1.24534,0.93914,0.000990012,0.000990012,0.000990012
13,655.167,1.36392,1.29164,0.94735,0.83003,0.85882,0.84901,0.60844,1.50826,1.33877,1.03889,0.000979013,0.000979013,0.000979013
14,712.941,1.34437,1.2685,0.95773,0.83679,0.84896,0.88426,0.56078,1.267,1.18455,0.93836,0.000968014,0.000968014,0.000968014
15,782.531,1.25181,1.17951,0.93677,0.90441,0.83636,0.88305,0.46939,1.29308,1.09655,0.9438,0.000957015,0.000957015,0.000957015
16,851.858,1.25022,1.09082,0.92171,0.82973,0.84877,0.8736,0.44459,1.22325,1.05047,0.92265,0.000946016,0.000946016,0.000946016
17,913.515,1.19373,1.08497,0.89124,0.65715,0.88235,0.79193,0.38364,1.76909,1.17551,1.04568,0.000935018,0.000935018,0.000935018
18,961.783,1.18298,1.05202,0.90419,0.77603,0.67335,0.72901,0.45555,1.44016,1.08857,0.98192,0.000924019,0.000924019,0.000924019
19,1014.1,1.18566,1.12731,0.90132,0.88646,0.86471,0.89396,0.60307,1.14031,1.06057,0.92562,0.00091302,0.00091302,0.00091302
20,1066.95,1.06302,1.01175,0.88209,0.87262,0.8509,0.88806,0.65418,1.09906,0.98291,0.90788,0.000902021,0.000902021,0.000902021
21,1127.98,1.02808,0.96906,0.87358,0.85536,0.86714,0.89182,0.63326,1.14443,0.98103,0.9196,0.000891022,0.000891022,0.000891022
22,1191.36,1.18749,1.30518,0.89663,0.90937,0.81374,0.88657,0.60699,1.18017,0.98691,0.91844,0.000880023,0.000880023,0.000880023
23,1252.08,1.07383,1.04396,0.88439,0.9196,0.82941,0.88894,0.6116,1.1029,0.97591,0.9022,0.000869024,0.000869024,0.000869024
24,1314.29,1.0874,0.94604,0.88169,0.85553,0.83417,0.89574,0.54967,1.451,1.04519,0.95713,0.000858025,0.000858025,0.000858025
25,1370.12,1.04807,0.93206,0.86987,0.94516,0.84118,0.90029,0.65108,1.09299,0.99472,0.90887,0.000847026,0.000847026,0.000847026
26,1427.14,1.0179,0.89052,0.86902,0.90452,0.85977,0.88638,0.61135,1.07016,0.98312,0.90628,0.000836027,0.000836027,0.000836027
27,1485.35,1.0431,0.95184,0.87787,0.87265,0.8817,0.89567,0.6335,1.09519,0.97024,0.90964,0.000825029,0.000825029,0.000825029
28,1542.05,1.09822,0.92555,0.87521,0.89881,0.85988,0.90022,0.63445,0.99432,0.91998,0.90328,0.00081403,0.00081403,0.00081403
29,1603.09,0.99719,0.92876,0.86427,0.89106,0.85735,0.91235,0.65981,1.02439,0.90062,0.89825,0.000803031,0.000803031,0.000803031
30,1663.71,0.96222,0.83442,0.86233,0.94266,0.65355,0.86661,0.59267,1.01111,0.87876,0.89764,0.000792032,0.000792032,0.000792032
31,1727.19,0.91946,0.79821,0.85871,0.89755,0.88562,0.90332,0.57812,0.96978,0.88828,0.88883,0.000781033,0.000781033,0.000781033
32,1786.82,0.94358,0.83872,0.84937,0.92528,0.86531,0.90599,0.56494,1.26163,0.92683,0.93329,0.000770034,0.000770034,0.000770034
33,1845.79,1.01614,0.93234,0.85747,0.88445,0.87986,0.90284,0.60922,1.15291,0.88238,0.91133,0.000759035,0.000759035,0.000759035
34,1905.87,0.86232,0.7818,0.83415,0.89726,0.86744,0.89941,0.55689,1.36589,0.99924,0.95717,0.000748036,0.000748036,0.000748036
35,1967.19,1.03037,0.87572,0.8728,0.94183,0.83529,0.90649,0.63266,1.07118,0.87885,0.90621,0.000737037,0.000737037,0.000737037
36,2029.02,1.01545,0.85979,0.85928,0.93669,0.85075,0.91002,0.56232,1.27348,0.9052,0.93195,0.000726038,0.000726038,0.000726038
37,2089.63,0.99393,0.80837,0.8701,0.93187,0.85294,0.91469,0.61154,1.03953,0.86981,0.89392,0.00071504,0.00071504,0.00071504
38,2157.06,0.92959,0.92089,0.85809,0.94274,0.82353,0.91102,0.65124,0.94347,0.79097,0.87948,0.000704041,0.000704041,0.000704041
39,2232.56,0.90433,0.75305,0.85618,0.86682,0.85505,0.902,0.67076,0.93994,0.82575,0.87952,0.000693042,0.000693042,0.000693042
40,2298.18,0.8708,0.73963,0.85486,0.8588,0.84895,0.90054,0.61235,1.20887,0.93373,0.91853,0.000682043,0.000682043,0.000682043
41,2357.68,0.87271,0.74655,0.85024,0.86917,0.86944,0.90029,0.60287,1.10617,0.91659,0.89439,0.000671044,0.000671044,0.000671044
42,2416.38,0.92443,0.73994,0.84722,0.96918,0.81176,0.90708,0.58217,1.284,0.97266,0.92743,0.000660045,0.000660045,0.000660045
43,2473.06,0.97858,0.74834,0.86819,0.9451,0.81437,0.91077,0.64701,1.0722,0.90659,0.89402,0.000649046,0.000649046,0.000649046
44,2526.58,0.88612,0.714,0.84045,0.91643,0.87339,0.91636,0.64148,0.93379,0.83045,0.88086,0.000638047,0.000638047,0.000638047
45,2580.6,0.9357,0.76864,0.84535,0.92622,0.86917,0.91391,0.60515,1.06572,0.81677,0.89641,0.000627048,0.000627048,0.000627048
46,2635.32,0.8942,0.69611,0.84474,0.91215,0.87841,0.91252,0.61391,1.00379,0.80378,0.89207,0.000616049,0.000616049,0.000616049
47,2689.27,0.93763,0.87794,0.84722,0.93488,0.8473,0.90095,0.6145,0.93631,0.92158,0.88258,0.000605051,0.000605051,0.000605051
48,2742.17,0.90564,0.71524,0.85209,0.92963,0.88208,0.9121,0.53578,1.16119,0.84412,0.91068,0.000594052,0.000594052,0.000594052
49,2801.43,1.11872,1.03691,0.88766,0.91118,0.82941,0.90507,0.58076,1.01986,0.83458,0.88512,0.000583053,0.000583053,0.000583053
