epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2661,2.91292,5.15925,1.51786,0.0036,0.05882,0.0008,0.00018,2.29813,4.56078,1.17019,0.00012221,0.00012221,0.00012221
2,128.004,2.19565,3.03414,1.15337,0.00257,0.08235,0.00247,0.00041,1.81278,4.02097,1.05662,0.000253,0.000253,0.000253
3,195.059,1.90125,2.17585,1.12512,0.01125,0.33725,0.06398,0.02301,1.58867,3.74318,1.02113,0.000381151,0.000381151,0.000381151
4,261.026,1.76263,2.12312,1.07148,0.02472,0.6098,0.16501,0.0778,1.57464,3.59626,1.0464,0.000506662,0.000506662,0.000506662
5,320.362,1.66312,1.86466,1.03526,0.0244,0.3,0.12551,0.06647,1.59673,3.44301,1.04334,0.000629533,0.000629533,0.000629533
6,382.991,1.51789,1.73526,1.0083,0.69749,0.31874,0.27197,0.16358,1.40606,3.02681,0.98886,0.000749764,0.000749764,0.000749764
7,436.799,1.5222,1.61312,0.9944,1,0.10456,0.38838,0.24024,1.44602,2.58,0.97822,0.000867355,0.000867355,0.000867355
8,490.749,1.46679,1.51601,0.98208,0.95728,0.2519,0.85929,0.52594,1.31817,2.03241,0.95473,0.000982307,0.000982307,0.000982307
9,546.112,1.44355,1.50379,0.96592,0.80266,0.65959,0.78634,0.54345,1.36675,1.68909,0.95359,0.00102301,0.00102301,0.00102301
10,597.699,1.42864,1.49921,0.96305,0.84655,0.62157,0.79871,0.52393,1.36262,1.75727,0.9622,0.00101201,0.00101201,0.00101201
11,647.511,1.42701,1.38325,0.97793,0.86231,0.84551,0.88705,0.5997,1.2752,1.19679,0.93018,0.00100101,0.00100101,0.00100101
12,699.398,1.3451,1.30449,0.94124,0.88835,0.79412,0.86948,0.63104,1.17273,1.15634,0.92804,0.000990012,0.000990012,0.000990012
13,761.877,1.31973,1.31194,0.95093,0.82011,0.70187,0.8705,0.56896,1.14765,1.19471,0.93064,0.000979013,0.000979013,0.000979013
14,819.153,1.24681,1.31082,0.93309,0.86822,0.74714,0.87374,0.60835,1.21283,1.44525,0.94821,0.000968014,0.000968014,0.000968014
15,873.58,1.23492,1.23574,0.92557,0.88169,0.80077,0.8685,0.63186,1.09464,1.22539,0.91629,0.000957015,0.000957015,0.000957015
16,927.744,1.10974,1.09253,0.90187,0.90684,0.85923,0.88996,0.59533,1.09146,1.00339,0.91185,0.000946016,0.000946016,0.000946016
17,982.212,1.14233,1.11378,0.90952,0.80028,0.85882,0.8832,0.66882,1.06212,1.00878,0.91466,0.000935018,0.000935018,0.000935018
18,1036.75,1.23642,1.14797,0.91416,0.80409,0.84706,0.87644,0.6055,1.12911,1.07981,0.9235,0.000924019,0.000924019,0.000924019
19,1091.77,1.16505,1.06128,0.90855,0.84553,0.85294,0.89703,0.60353,1.0216,1.03572,0.89483,0.00091302,0.00091302,0.00091302
20,1146.35,1.08542,1.01349,0.884,0.87345,0.86471,0.89749,0.59148,1.2917,1.01877,0.93835,0.000902021,0.000902021,0.000902021
21,1201.01,1.14112,1.00704,0.89249,0.86448,0.87935,0.89482,0.65851,1.01525,0.94235,0.89708,0.000891022,0.000891022,0.000891022
22,1255.32,1.03142,0.96805,0.86734,0.90507,0.83828,0.90134,0.71338,0.966,1.05901,0.88963,0.000880023,0.000880023,0.000880023
23,1310.78,1.0512,0.92694,0.87831,0.87317,0.83529,0.89206,0.64539,1.0761,1.149,0.91003,0.000869024,0.000869024,0.000869024
24,1375.03,1.06581,0.96943,0.8742,0.86915,0.87647,0.87422,0.68965,1.08356,1.02417,0.91765,0.000858025,0.000858025,0.000858025
25,1430.64,1.01003,0.90666,0.87066,0.83384,0.86471,0.8892,0.689,1.06303,1.04359,0.92684,0.000847026,0.000847026,0.000847026
